#{"t_start": 1709266852.2779326, "env_id": "None"}
r,l,t
704.07184,16,2693.720045
698.5183,16,2693.720058
699.627,16,2698.986558
727.62616,16,2707.065228
696.27936,16,2715.345377
708.2504,16,2723.60291
709.1932,16,2732.281469
736.98956,16,2740.638973
710.19403,16,2740.639031
730.79565,16,2746.059367
682.42163,16,2746.059428
695.7735,16,2746.059442
707.59326,16,2752.952273
644.9512,17,2763.047624
737.57306,16,2768.22259
696.0603,16,2775.917128
684.9267,16,2785.176927
689.8191,16,2794.464331
741.2709,16,2794.464392
747.4372,16,2800.268666
673.7913,16,2800.268725
699.5481,16,2800.268742
745.3227,16,2806.026981
713.2054,16,2815.840924
697.7949,16,2820.962446
708.14417,16,2830.360097
694.6551,16,2838.217592
656.1649,16,2847.619118
744.2118,16,2847.619172
735.5318,16,2854.405039
666.6054,16,2854.405095
664.3429,16,2854.405108
695.6442,16,2860.675646
703.595,16,2868.882412
723.7818,16,2874.708854
718.1194,16,2884.202965
626.5836,17,2894.494176
707.2039,16,2903.373968
660.6074,16,2903.37404
730.91583,16,2903.374053
680.823,17,2903.374064
687.021,17,2903.374074
713.4811,17,2917.988224
704.99426,16,2926.96591
711.0872,16,2933.711984
672.3902,17,2942.726273
668.24457,18,2950.946555
641.88275,17,2957.759281
664.75586,17,2957.759337
645.84344,18,2964.663077
675.12714,18,2964.663137
673.25476,18,2964.66315
638.97797,17,2970.439628
690.23926,17,2978.275226
645.60345,17,2983.691335
690.48376,18,2991.557693
712.57336,16,2999.531038
636.17426,18,3006.084883
647.75964,17,3013.045735
668.76135,17,3013.045799
634.7813,18,3013.045812
652.02686,18,3019.656301
667.2145,17,3019.656365
635.9157,17,3029.168992
621.67554,18,3039.455741
626.52924,18,3047.54033
620.8107,18,3057.218962
669.0279,18,3063.476638
645.47894,17,3063.4767
653.94476,17,3068.912398
708.15594,17,3068.912453
679.003,18,3068.912466
641.0776,18,3068.912476
707.10504,17,3076.745319
643.35693,17,3084.511218
674.5113,18,3092.740648
668.72784,17,3101.635784
725.8366,17,3101.635844
641.27167,18,3101.635858
667.65735,17,3108.35967
676.7403,17,3108.359728
639.00757,17,3108.359741
666.13324,18,3113.622733
614.271,17,3119.046371
670.43427,17,3126.901613
642.244,18,3137.344105
748.0973,16,3147.2106
666.30804,17,3153.011786
622.369,18,3158.808881
688.78925,17,3158.808941
661.68024,18,3165.201452
624.7291,18,3165.201511
629.6959,18,3170.787374
667.49164,18,3176.575379
642.25726,17,3183.406627
637.0703,17,3191.581641
679.7788,17,3201.691447
652.18304,18,3209.552203
709.4127,17,3209.552262
624.2453,17,3209.552274
635.6138,18,3218.347843
633.21063,18,3218.347901
609.9938,17,3218.347915
661.8038,17,3223.741721
631.14166,18,3232.782313
681.7151,17,3240.871677
621.1553,18,3250.421539
689.94086,17,3256.713713
700.8101,17,3256.713775
639.5778,17,3256.713789
670.8675,17,3271.280748
692.06366,17,3276.865704
653.4633,18,3276.865761
655.9633,18,3276.865774
663.17926,18,3286.521341
681.4069,16,3294.488309
756.029,15,3304.234005
782.1946,16,3313.661045
786.75073,16,3321.691509
675.7734,18,3321.691574
719.7263,18,3321.691588
764.2794,16,3327.895293
735.8467,16,3327.895348
719.1992,17,3334.798195
687.38495,17,3342.805946
778.9377,16,3353.065243
773.36084,16,3362.748254
676.94965,17,3371.85734
739.36487,16,3378.214759
779.87524,17,3384.397007
712.25464,17,3389.696039
680.9877,18,3389.696092
716.6405,17,3389.696105
537.06714,18,3397.065188
726.6804,16,3404.383687
773.4601,17,3412.723648
781.8566,16,3422.261177
727.33765,16,3430.330194
740.57043,17,3430.330251
686.09717,16,3436.019154
709.3173,16,3441.830197
789.2081,16,3441.830252
703.40155,17,3447.096217
774.16736,16,3452.395427
729.00934,18,3460.388069
748.4084,16,3466.120596
742.6538,16,3479.572412
742.6538,16,3479.572469
742.6538,16,3479.572482
742.6538,16,3479.572492
742.6538,16,3479.572501
742.6538,16,3479.572511
742.6538,16,3479.57252
742.6538,16,3479.572529
742.6538,16,3479.572538
742.6538,16,3479.572547
-891.35974,15,3487.898549
-919.5861,15,3487.898606
581.0054,16,3494.053976
-844.4359,16,3494.054037
776.14154,16,3494.05405
328.8457,17,3499.981682
-444.4125,17,3499.981738
235.47308,17,3499.981751
544.13074,17,3499.981761
762.9762,17,3499.98177
755.4803,16,3508.414889
793.778,16,3508.41495
773.07776,16,3513.966887
767.0149,16,3519.877179
742.82263,17,3519.877251
705.79736,16,3519.877268
750.77606,16,3519.877276
749.0474,16,3519.877284
718.2902,17,3519.877291
712.46204,18,3527.388215
741.5334,16,3537.367805
678.4473,17,3537.367868
710.7765,17,3537.36788
593.6408,16,3543.283351
752.2636,16,3543.283409
777.52795,16,3543.283419
711.68335,17,3550.0742
709.97595,18,3556.648848
694.1266,18,3556.648916
719.5651,17,3561.941966
710.99664,18,3578.809264
713.9229,18,3578.809326
737.02765,17,3578.80934
747.607,17,3578.80935
684.04456,18,3578.80936
730.6017,18,3586.450086
719.19946,18,3594.734801
666.9678,19,3594.73486
731.6452,18,3594.734874
716.75543,18,3600.53953
778.1742,17,3609.768917
690.8193,18,3616.390974
680.8879,18,3616.391034
710.0761,18,3616.391047
690.4293,19,3623.143942
732.63116,18,3623.143999
688.91895,19,3631.130699
697.24615,19,3631.130757
716.162,18,3631.130771
694.7686,19,3631.13078
733.24475,17,3641.728799
688.764,18,3641.728858
711.85925,18,3649.349051
665.43677,19,3654.765299
723.1677,19,3662.05199
638.2762,19,3662.052052
716.86816,18,3669.838555
756.94574,18,3669.838618
737.1697,18,3669.838632
699.8987,19,3676.557468
716.88763,18,3687.486286
741.3534,18,3692.8785
651.38684,20,3699.508767
720.3807,18,3699.508823
729.668,18,3707.387241
730.4475,18,3707.387297
731.2899,17,3713.177527
717.9635,18,3718.813908
731.7965,18,3724.60234
696.5535,19,3724.602398
721.60956,18,3733.10475
683.4796,18,3740.961269
671.95306,19,3750.208746
686.85046,19,3750.208806
698.4478,19,3757.543517
673.29913,19,3757.543583
703.4519,19,3764.551215
736.5173,17,3764.551275
740.52136,18,3771.200015
669.77185,19,3771.200078
706.6695,18,3781.133822
711.27356,18,3788.614587
710.75775,18,3796.673907
705.7638,19,3802.46027
738.94403,18,3809.384454
692.941,19,3809.384513
695.9929,19,3809.384526
670.70496,19,3814.933916
704.0487,18,3814.933976
741.2284,18,3814.933989
721.4001,18,3823.151996
700.03845,18,3828.598682
679.0196,19,3838.697315
691.9024,18,3845.184592
718.0135,18,3845.184654
658.474,19,3845.184664
685.2003,19,3851.254831
708.90466,18,3851.254894
722.4772,19,3857.175235
659.82336,19,3857.175297
648.44775,18,3872.254505
71.34279,18,3878.102556
-61.64987,16,3886.756943
-27.659554,16,3893.428709
-279.6023,17,3893.428769
-195.4043,18,3893.428783
-2086.2498,15,3893.428793
710.55695,17,3899.627834
-2185.6873,16,3899.627893
21.173744,19,3906.511452
